,Country,1990,2000,2005,2015,2020,2022,2023,2023 %
,unit,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,Mton CO2,% World Tot
0,EU27,3809.7,3563.26,3689.08,3086.21,2641.19,2756.91,2512.07,6.44
1,GLOBAL TOTAL,22680.4,25725.44,30044.54,36300.47,36154.31,38246.62,39023.94,100.0
2,Afghanistan,2.92,1.02,1.27,8.35,7.05,8.26,8.71,0.02
3,Albania,6.64,3.23,4.15,4.86,4.56,4.61,4.59,0.01
4,Algeria,72.16,87.94,101.4,164.86,171.89,186.64,180.36,0.46
5,Angola,11.23,16.51,15.64,33.1,20.71,27.35,28.23,0.07
6,Anguilla,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.0
7,Antigua and Barbuda,0.16,0.14,0.17,0.29,0.28,0.31,0.32,0.0
8,Argentina,100.19,136.76,153.68,196.25,170.12,193.48,183.78,0.47
9,Armenia,20.78,3.57,4.46,5.62,6.91,7.29,7.73,0.02
10,Aruba,0.2,0.27,0.38,0.46,0.45,0.5,0.53,0.0
11,Australia,277.71,353.87,384.09,400.54,392.52,374.88,373.62,0.96
12,Austria,61.56,66.69,80.41,67.37,62.6,61.22,58.82,0.15
13,Azerbaijan,56.12,28.79,31.22,34.52,35.4,39.43,42.77,0.11
14,Bahamas,1.09,1.0,0.86,1.12,1.44,1.6,1.68,0.0
15,Bahrain,12.0,17.77,23.37,33.48,36.84,36.29,37.43,0.1
16,Bangladesh,14.77,26.97,40.37,85.43,102.46,124.08,124.79,0.32
17,Barbados,0.62,0.59,0.65,0.72,0.67,0.76,0.8,0.0
18,Belarus,105.53,56.26,60.02,59.17,58.17,56.83,54.18,0.14
19,Belgium,115.81,124.97,119.14,102.38,92.27,89.74,84.31,0.22
20,Belize,0.13,0.14,0.15,0.25,0.22,0.26,0.28,0.0
21,Benin,0.4,1.54,2.8,5.81,8.57,6.62,6.44,0.02
22,Bermuda,0.25,0.15,0.19,0.23,0.32,0.33,0.35,0.0
23,Bhutan,0.18,0.41,0.52,1.3,1.74,1.93,1.99,0.01
24,Bolivia,6.58,8.2,9.93,19.93,18.54,22.74,23.81,0.06
25,Bosnia and Herzegovina,24.57,14.28,16.84,20.83,22.53,22.71,22.0,0.06
26,Botswana,2.82,4.1,4.39,7.09,6.09,7.28,7.42,0.02
27,Brazil,226.89,349.4,369.18,517.59,447.42,478.91,479.5,1.23
28,British Virgin Islands,0.02,0.03,0.04,0.07,0.06,0.07,0.08,0.0
29,Brunei,4.3,6.07,6.01,7.37,9.9,9.45,9.72,0.02
30,Bulgaria,80.05,48.17,52.49,49.85,39.49,50.07,39.79,0.1
31,Burkina Faso,0.33,0.88,1.14,3.9,5.52,6.14,6.0,0.02
32,Burundi,0.2,0.29,0.18,0.43,0.88,0.84,0.84,0.0
33,Cabo Verde,0.05,0.28,0.61,0.78,0.98,1.04,1.01,0.0
34,Cambodia,0.43,2.0,2.7,8.51,16.6,17.35,17.97,0.05
35,Cameroon,4.75,5.73,5.47,9.18,10.38,10.83,10.76,0.03
36,Canada,440.48,543.04,581.1,577.13,546.68,575.32,575.01,1.47
37,Cayman Islands,0.12,0.13,0.15,0.25,0.31,0.34,0.36,0.0
38,Central African Republic,0.16,0.26,0.25,0.23,0.3,0.35,0.37,0.0
